!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z

1 0.0001 385.2132 379.4068
2 77.0079 378.1865 379.0630
3 150.7798 357.3387 378.2277
4 218.1933 323.1930 377.3284
5 276.4119 276.4120 376.9206
6 323.1930 218.1933 377.3284
7 357.3387 150.7798 378.2277
8 378.1865 77.0079 379.0630
9 385.2132 -0.0000 379.4068
10 378.1865 -77.0079 379.0630
11 357.3387 -150.7798 378.2277
12 323.1930 -218.1933 377.3284
13 276.4120 -276.4119 376.9206
14 218.1933 -323.1930 377.3284
15 150.7798 -357.3387 378.2277
16 77.0079 -378.1865 379.0630
17 -0.0000 -385.2132 379.4068
18 -77.0079 -378.1865 379.0630
19 -150.7798 -357.3387 378.2277
20 -218.1933 -323.1930 377.3284
21 -276.4119 -276.4120 376.9206
22 -323.1930 -218.1934 377.3284
23 -357.3387 -150.7798 378.2277
24 -378.1865 -77.0079 379.0630
25 -385.2132 0.0000 379.4068
26 -378.1865 77.0079 379.0630
27 -357.3386 150.7798 378.2277
28 -323.1930 218.1933 377.3284
29 -276.4120 276.4119 376.9206
30 -218.1933 323.1930 377.3284
31 -150.7798 357.3387 378.2277
32 -77.0079 378.1865 379.0630
33 -226.8499 -226.8499 563.8387
34 -226.8499 226.8499 563.8388
35 226.8499 -226.8499 563.8388
36 226.8499 226.8499 563.8388
37 -256.9656 -256.9656 478.4094
38 -242.0668 -242.0668 527.3687
39 -242.0668 -190.3797 579.0558
40 -258.5769 -134.8128 595.5657
41 -270.3269 -69.6656 607.3159
42 -274.6055 0.0000 611.5944
43 -270.3269 69.6656 607.3159
44 -258.5769 134.8128 595.5657
45 -242.0668 190.3797 579.0557
46 -242.0668 242.0668 527.3687
47 -256.9656 256.9656 478.4094
48 -190.3797 242.0668 579.0558
49 -134.8128 258.5769 595.5657
50 -69.6656 270.3269 607.3158
51 0.0000 274.6055 611.5944
52 69.6656 270.3269 607.3159
53 134.8128 258.5769 595.5657
54 190.3797 242.0668 579.0557
55 242.0668 242.0668 527.3687
56 256.9656 256.9656 478.4094
57 242.0668 190.3797 579.0558
58 258.5769 134.8128 595.5658
59 270.3269 69.6656 607.3158
60 274.6054 -0.0000 611.5944
61 270.3269 -69.6656 607.3158
62 258.5769 -134.8128 595.5658
63 242.0668 -190.3797 579.0557
64 242.0668 -242.0668 527.3687
65 256.9656 -256.9656 478.4094
66 190.3797 -242.0668 579.0558
67 134.8128 -258.5769 595.5658
68 69.6656 -270.3269 607.3158
69 -0.0000 -274.6055 611.5944
70 -69.6656 -270.3269 607.3159
71 -134.8128 -258.5769 595.5657
72 -190.3797 -242.0668 579.0557
73 -297.9135 -204.4026 480.8301
74 -275.5368 -195.7599 532.7488
75 -327.1863 -142.0444 486.0268
76 -299.6074 -137.4096 542.7473
77 -344.9915 -72.7855 490.7311
78 -314.7592 -70.7781 550.9938
79 -351.0180 0.0000 492.6371
80 -320.0168 0.0000 554.1765
81 -344.9915 72.7856 490.7311
82 -314.7592 70.7781 550.9938
83 -327.1863 142.0444 486.0268
84 -299.6074 137.4096 542.7473
85 -297.9135 204.4026 480.8301
86 -275.5367 195.7599 532.7488
87 -204.4026 297.9135 480.8301
88 -195.7599 275.5368 532.7488
89 -142.0443 327.1863 486.0268
90 -137.4096 299.6074 542.7473
91 -72.7855 344.9915 490.7311
92 -70.7781 314.7592 550.9938
93 0.0000 351.0180 492.6371
94 0.0000 320.0168 554.1765
95 72.7855 344.9915 490.7311
96 70.7781 314.7592 550.9938
97 142.0444 327.1863 486.0268
98 137.4096 299.6074 542.7473
99 204.4026 297.9135 480.8301
100 195.7599 275.5367 532.7488
101 297.9135 204.4026 480.8301
102 275.5368 195.7599 532.7488
103 327.1863 142.0443 486.0268
104 299.6074 137.4096 542.7473
105 344.9915 72.7856 490.7311
106 314.7592 70.7781 550.9938
107 351.0180 -0.0000 492.6371
108 320.0168 -0.0000 554.1765
109 344.9915 -72.7855 490.7311
110 314.7592 -70.7781 550.9938
111 327.1863 -142.0444 486.0268
112 299.6074 -137.4096 542.7473
113 297.9135 -204.4026 480.8301
114 275.5367 -195.7599 532.7488
115 204.4026 -297.9135 480.8301
116 195.7599 -275.5368 532.7488
117 142.0444 -327.1863 486.0268
118 137.4096 -299.6074 542.7473
119 72.7856 -344.9915 490.7311
120 70.7781 -314.7592 550.9938
121 -0.0000 -351.0180 492.6371
122 -0.0000 -320.0168 554.1765
123 -72.7855 -344.9915 490.7311
124 -70.7781 -314.7592 550.9938
125 -142.0444 -327.1863 486.0268
126 -137.4096 -299.6074 542.7473
127 -204.4026 -297.9135 480.8301
128 -195.7599 -275.5367 532.7488
129 195.7599 195.7599 612.5257
130 137.4096 205.7584 636.5963
131 70.7781 214.0049 651.7480
132 0.0000 217.1876 657.0058
133 -70.7781 214.0049 651.7480
134 -137.4096 205.7583 636.5963
135 -195.7599 195.7599 612.5257
136 205.7584 137.4096 636.5963
137 143.0076 143.0076 665.8372
138 73.2824 148.1052 683.5800
139 0.0000 150.1794 689.5776
140 -73.2824 148.1052 683.5800
141 -143.0076 143.0076 665.8372
142 -205.7584 137.4096 636.5963
143 214.0049 70.7781 651.7480
144 148.1052 73.2824 683.5800
145 75.6908 75.6908 702.7529
146 -0.0000 76.7072 709.1706
147 -75.6908 75.6908 702.7529
148 -148.1052 73.2824 683.5800
149 -214.0049 70.7781 651.7480
150 217.1876 -0.0000 657.0058
151 150.1793 -0.0000 689.5776
152 76.7072 0.0000 709.1706
153 -0.0000 0.0000 715.7155
154 -76.7072 0.0000 709.1706
155 -150.1793 -0.0000 689.5776
156 -217.1876 0.0000 657.0058
157 214.0049 -70.7781 651.7480
158 148.1052 -73.2824 683.5800
159 75.6908 -75.6908 702.7531
160 -0.0000 -76.7072 709.1706
161 -75.6908 -75.6908 702.7530
162 -148.1052 -73.2824 683.5800
163 -214.0049 -70.7781 651.7481
164 205.7583 -137.4096 636.5963
165 143.0076 -143.0076 665.8372
166 73.2824 -148.1052 683.5800
167 -0.0000 -150.1794 689.5776
168 -73.2824 -148.1052 683.5800
169 -143.0076 -143.0076 665.8372
170 -205.7583 -137.4096 636.5963
171 195.7599 -195.7599 612.5257
172 137.4096 -205.7584 636.5963
173 70.7781 -214.0049 651.7480
174 -0.0000 -217.1876 657.0058
175 -70.7781 -214.0049 651.7481
176 -137.4096 -205.7583 636.5963
177 -195.7599 -195.7599 612.5257
178 0.0000 496.7976 -0.0000
179 96.9204 487.2518 -0.0000
180 190.1162 458.9811 -0.0000
181 276.0060 413.0721 -0.0000
182 351.2889 351.2889 -0.0000
183 413.0721 276.0060 -0.0000
184 458.9811 190.1162 -0.0000
185 487.2518 96.9204 -0.0000
186 496.7976 -0.0000 -0.0000
187 487.2518 -96.9204 -0.0000
188 458.9812 -190.1162 -0.0000
189 413.0721 -276.0059 -0.0000
